Number;Name;Type 1;Type 2;Abilities;HP;Att;Def;Spa;Spd;Spe;BST;Height;Weight;Generation;Experience type;Evolutionary Stage;Final Evolution;Catch Rate;Legendary;Mega Evolution;Alolan Form;Galarian Form;Against Normal;Against Fire;Against Water;Against Electric;Against Grass;Against Ice;Against Fighting;Against Poison;Against Ground;Against Flying;Against Psychic;Against Bug;Against Rock;Against Ghost;Against Dragon;Against Dark;Against Steel;Against Fairy
27;Alolan Sandshrew;Ice;Steel;['Slush Rush', 'Snow Cloak'];50;75;90;10;35;40;300;0.7;40.0;7;Medium Fast;1;0;255;0;0;1;0;0.5;4.0;1.0;1.0;0.5;0.3;4.0;0.0;2.0;0.5;0.5;0.5;1.0;1.0;0.5;1.0;1.0;0.5
28;Sandslash;Ground;;['Sand Rush', 'Sand Veil'];75;100;110;45;55;65;450;1.0;29.5;1;Medium Fast;2;1;90;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
28;Alolan Sandslash;Ice;Steel;['Slush Rush', 'Snow Cloak'];75;100;120;25;65;65;450;1.2;55.0;7;Medium Fast;2;1;90;0;0;1;0;0.5;4.0;1.0;1.0;0.5;0.3;4.0;0.0;2.0;0.5;0.5;0.5;1.0;1.0;0.5;1.0;1.0;0.5
29;Nidoran F;Poison;;['Hustle', 'Poison Point', 'Rivalry'];55;47;52;40;40;41;275;0.4;7.0;1;Medium Slow;1;0;235;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;0.5
30;Nidorina;Poison;;['Hustle', 'Poison Point', 'Rivalry'];70;62;67;55;55;56;365;0.8;20.0;1;Medium Slow;2;0;120;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;0.5
31;Nidoqueen;Poison;Ground;['Poison Point', 'Rivalry', 'Sheer Force'];90;92;87;75;85;76;505;1.3;60.0;1;Medium Slow;3;1;45;0;0;0;0;1.0;1.0;2.0;0.0;1.0;2.0;0.5;0.3;2.0;1.0;2.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5
32;Nidoran M;Poison;;['Hustle', 'Poison Point', 'Rivalry'];46;57;40;40;40;50;273;0.5;9.0;1;Medium Slow;1;0;235;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;0.5
33;Nidorino;Poison;;['Hustle', 'Poison Point', 'Rivalry'];61;72;57;55;55;65;365;0.9;19.5;1;Medium Slow;2;0;120;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;0.5
34;Nidoking;Poison;Ground;['Poison Point', 'Rivalry', 'Sheer Force'];81;102;77;85;75;85;505;1.4;62.0;1;Medium Slow;3;1;45;0;0;0;0;1.0;1.0;2.0;0.0;1.0;2.0;0.5;0.3;2.0;1.0;2.0;0.5;0.5;1.0;1.0;1.0;1.0;0.5
35;Clefairy;Fairy;;['Cute Charm', 'Friend Guard', 'Magic Guard'];70;45;48;60;65;35;323;0.6;7.5;1;Fast;2;0;150;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;0.5;2.0;1.0
36;Clefable;Fairy;;['Cute Charm', 'Magic Guard', 'Unaware'];95;70;73;95;90;60;483;1.3;40.0;1;Fast;3;1;25;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;0.5;2.0;1.0
37;Vulpix;Fire;;['Drought', 'Flash Fire'];38;41;40;50;65;65;299;0.6;9.9;1;Medium Fast;1;0;190;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
37;Alolan Vulpix;Ice;;['Snow Cloak', 'Snow Warning'];38;41;40;50;65;65;299;0.6;9.9;7;Medium Fast;1;0;190;0;0;1;0;1.0;2.0;1.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0
38;Ninetales;Fire;;['Drought', 'Flash Fire'];73;76;75;81;100;100;505;1.1;19.9;1;Medium Fast;2;1;75;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
38;Alolan Ninetales;Ice;Fairy;['Snow Cloak', 'Snow Warning'];73;67;75;81;100;109;505;1.1;19.9;7;Medium Fast;2;1;75;0;0;1;0;1.0;2.0;1.0;1.0;1.0;0.5;1.0;2.0;1.0;1.0;1.0;0.5;2.0;1.0;0.0;0.5;4.0;1.0
39;Jigglypuff;Normal;Fairy;['Competitive', 'Cute Charm', 'Friend Guard'];115;45;20;45;25;20;270;0.5;5.5;1;Fast;2;0;170;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.5;1.0;0.0;0.0;0.5;2.0;1.0
40;Wigglytuff;Normal;Fairy;['Competitive', 'Cute Charm', 'Frisk'];140;70;45;85;50;45;435;1.0;12.0;1;Fast;3;1;50;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.5;1.0;0.0;0.0;0.5;2.0;1.0
41;Zubat;Poison;Flying;['Infiltrator', 'Inner Focus'];40;45;35;30;40;55;245;0.8;7.5;1;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;2.0;0.3;2.0;0.3;0.5;0.0;1.0;2.0;0.3;2.0;1.0;1.0;1.0;1.0;0.5
42;Golbat;Poison;Flying;['Infiltrator', 'Inner Focus'];75;80;70;65;75;90;455;1.6;55.0;1;Medium Fast;2;0;90;0;0;0;0;1.0;1.0;1.0;2.0;0.3;2.0;0.3;0.5;0.0;1.0;2.0;0.3;2.0;1.0;1.0;1.0;1.0;0.5
43;Oddish;Grass;Poison;['Chlorophyll', 'Run Away'];45;50;55;75;65;30;320;0.5;5.4;1;Medium Slow;1;0;255;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
44;Gloom;Grass;Poison;['Chlorophyll', 'Stench'];60;65;70;85;75;40;395;0.8;8.6;1;Medium Slow;2;0;120;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
45;Vileplume;Grass;Poison;['Chlorophyll', 'Effect Spore'];75;80;85;110;90;50;490;1.2;18.6;1;Medium Slow;3;1;45;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
46;Paras;Bug;Grass;['Damp', 'Dry Skin', 'Effect Spore'];35;70;55;45;55;25;285;0.3;5.4;1;Medium Fast;1;0;190;0;0;0;0;1.0;4.0;0.5;0.5;0.3;2.0;0.5;2.0;0.3;4.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
47;Parasect;Bug;Grass;['Damp', 'Dry Skin', 'Effect Spore'];60;95;80;60;80;30;405;1.0;29.5;1;Medium Fast;2;1;75;0;0;0;0;1.0;4.0;0.5;0.5;0.3;2.0;0.5;2.0;0.3;4.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
48;Venonat;Bug;Poison;['Run Away', 'Tinted Lens'];60;55;50;40;55;45;305;1.0;30.0;1;Medium Fast;1;0;190;0;0;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
49;Venomoth;Bug;Poison;['Shield Dust', 'Tinted Lens', 'Wonder Skin'];70;65;60;90;75;90;450;1.5;12.5;1;Medium Fast;2;1;75;0;0;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
50;Diglett;Ground;;['Arena Trap', 'Sand Force', 'Sand Veil'];10;55;25;35;45;95;265;0.2;0.8;1;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
50;Alolan Diglett;Ground;Steel;['Sand Force', 'Sand Veil', 'Tangling Hair'];10;55;30;35;45;90;265;0.2;1.0;7;Medium Fast;1;0;255;0;0;1;0;0.5;2.0;2.0;0.0;1.0;1.0;2.0;0.0;2.0;0.5;0.5;0.5;0.3;1.0;0.5;1.0;0.5;0.5
51;Dugtrio;Ground;;['Arena Trap', 'Sand Force', 'Sand Veil'];35;100;50;50;70;120;425;0.7;33.3;1;Medium Fast;2;1;50;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
51;Alolan Dugtrio;Ground;Steel;['Sand Force', 'Sand Veil', 'Tangling Hair'];35;100;60;50;70;110;425;0.7;66.6;7;Medium Fast;2;1;50;0;0;1;0;0.5;2.0;2.0;0.0;1.0;1.0;2.0;0.0;2.0;0.5;0.5;0.5;0.3;1.0;0.5;1.0;0.5;0.5
52;Meowth;Normal;;['Pickup', 'Technician', 'Unnerve'];40;45;35;40;40;90;290;0.4;4.2;1;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
52;Alolan Meowth;Dark;;['Pickup', 'Rattled', 'Technician'];40;35;35;50;40;90;290;0.4;4.2;7;Medium Fast;1;0;255;0;0;1;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
52;Galarian Meowth;Steel;;['Pickup', 'Tough Claws', 'Unnerve'];50;65;55;40;40;40;290;0.4;7.5;8;Medium Fast;1;0;255;0;0;0;1;0.5;2.0;1.0;1.0;0.5;0.5;2.0;0.0;2.0;0.5;0.5;0.5;0.5;1.0;0.5;1.0;0.5;0.5
53;Persian;Normal;;['Limber', 'Technician', 'Unnerve'];65;70;60;65;65;115;440;1.0;32.0;1;Medium Fast;2;1;90;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
53;Alolan Persian;Dark;;['Fur Coat', 'Rattled', 'Technician'];65;60;60;75;65;115;440;1.1;33.0;7;Medium Fast;2;1;90;0;0;1;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
54;Psyduck;Water;;['Cloud Nine', 'Damp', 'Swift Swim'];50;52;48;65;50;55;320;0.8;19.6;1;Medium Fast;1;0;190;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
55;Golduck;Water;;['Cloud Nine', 'Damp', 'Swift Swim'];80;82;78;95;80;85;500;1.7;76.6;1;Medium Fast;2;1;75;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
56;Mankey;Fighting;;['Anger Point', 'Defiant', 'Vital Spirit'];40;80;35;35;45;70;305;0.5;28.0;1;Medium Fast;1;0;190;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
57;Primeape;Fighting;;['Anger Point', 'Defiant', 'Vital Spirit'];65;105;60;60;70;95;455;1.0;32.0;1;Medium Fast;2;1;75;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
58;Growlithe;Fire;;['Flash Fire', 'Intimidate', 'Justified'];55;70;45;70;50;60;350;0.7;19.0;1;Slow;1;0;190;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
59;Arcanine;Fire;;['Flash Fire', 'Intimidate', 'Justified'];90;110;80;100;80;95;555;1.9;155.0;1;Slow;2;1;75;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
60;Poliwag;Water;;['Damp', 'Swift Swim', 'Water Absorb'];40;50;40;40;40;90;300;0.6;12.4;1;Medium Slow;1;0;255;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
61;Poliwhirl;Water;;['Damp', 'Swift Swim', 'Water Absorb'];65;65;65;50;50;90;385;1.0;20.0;1;Medium Slow;2;0;120;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
62;Poliwrath;Water;Fighting;['Damp', 'Swift Swim', 'Water Absorb'];90;95;95;70;90;70;510;1.3;54.0;1;Medium Slow;3;1;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;0.5;2.0
63;Abra;Psychic;;['Inner Focus', 'Magic Guard', 'Synchronize'];25;20;15;105;55;90;310;0.9;19.5;1;Medium Slow;1;0;200;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
64;Kadabra;Psychic;;['Inner Focus', 'Magic Guard', 'Synchronize'];40;35;30;120;70;105;400;1.3;56.5;1;Medium Slow;2;0;100;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
65;Alakazam;Psychic;;['Inner Focus', 'Magic Guard', 'Synchronize'];55;50;45;135;95;120;500;1.5;48.0;1;Medium Slow;3;1;50;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
65;Mega Alakazam;Psychic;;['Trace'];55;50;65;175;95;150;590;1.2;48.0;6;Medium Slow;3;1;50;0;1;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
66;Machop;Fighting;;['Guts', 'No Guard', 'Steadfast'];70;80;50;35;35;35;305;0.8;19.5;1;Medium Slow;1;0;180;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
67;Machoke;Fighting;;['Guts', 'No Guard', 'Steadfast'];80;100;70;50;60;45;405;1.5;70.5;1;Medium Slow;2;0;90;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
68;Machamp;Fighting;;['Guts', 'No Guard', 'Steadfast'];90;130;80;65;85;55;505;1.6;130.0;1;Medium Slow;3;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
69;Bellsprout;Grass;Poison;['Chlorophyll', 'Gluttony'];50;75;35;70;30;40;300;0.7;4.0;1;Medium Slow;1;0;255;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
70;Weepinbell;Grass;Poison;['Chlorophyll', 'Gluttony'];65;90;50;85;45;55;390;1.0;6.4;1;Medium Slow;2;0;120;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
